type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,-0.0037013,-0.004822423,-0.007922116,0.00696505,0.002733321,7.59E-05,-0.007882582,-0.004111294,-0.007934319,0.001645211,0.001993023,0.003491629,-0.003294922,-0.0022421,-0.002643429,-0.006898968,0.001530934,0.007675977,-0.007402859,-0.002846408,-0.003026651,0.001828627,-0.004405769,0.002404984,0.004692683,-0.006330687,-0.006256197,-0.007796832,0.003948119,-0.007362567,0.004833642,0.005550364,-0.005416559,-0.003368621,-0.000914824,0.001227152,-0.001219861,-0.006431605,-0.002744016,0.001350683,-0.001768878,-0.005880789,0.003308385,-0.00720941,0.002267529,-0.003278561,0.000473013,-0.001276894,0.003996876,-0.006412367,-0.001583668,7.32E-05,-0.005069765,-0.005229002,-0.00166395,0.006700174,-0.000911602,0.002984091,-0.004920717,0.006710302,0.001947697,0.007257033,0.003593065,-0.003215686,0.001861541,-0.003695805,0.004487349,0.001603477,-0.001418172,-0.004772505,-0.006109737,-0.000673373,-0.007229731,-0.007347213,-0.006468489,0.00180786,-0.005130601,-0.005979173,0.001691376,0.001529325,0.006439481,0.003937541,-0.007646967,-0.000368462,0.006247758,0.001847052,0.002261153,-0.003487467,0.004931522,0.000928402,-0.005937197,0.005536159,-0.0081676,-0.006514237,-0.003978998,0.008001155,0.002474594,-0.001270739,0.007025865,0.001538245,-0.004396571,-0.002409347,-0.005217411,0.002887803,-0.005466143,-0.001633345,-0.000934802,0.005507803,0.005315279,0.002792977,0.000303132,-0.003837781,-0.001697799,-0.004223917,0.007160131,-0.006574053,-0.007842013,-0.000557425,0.002945934,0.006672392,0.007461331,0.004927032,-0.005009183,0.0067308,-0.007473559,0.000672515,-0.005289752,-0.000453577
1,0.002331503,-0.006162894,0.002903418,0.001366331,-0.000449705,0.004763504,-0.003576664,-0.001346969,0.000546302,0.002321152,-0.00700212,-0.004051744,0.006199795,0.000863691,0.002698951,-0.007409205,-0.001627662,0.002043244,0.001987385,0.006873981,0.000195844,-0.003830028,-0.002522197,0.007796462,0.00595372,-0.006977741,-0.002637737,0.004222685,0.000814365,0.006624384,-0.004345351,-0.002213912,0.00630752,0.004354762,0.006875373,-0.002512036,0.001762486,-0.005183477,-0.004613623,-0.004642501,-0.006609466,-0.001939715,0.002802488,-0.001699731,0.002458774,0.004220594,0.005805096,0.002194982,0.006055051,-0.003249628,-0.00369265,-0.000820454,0.00466974,0.003625699,-0.006609295,-0.002389478,-0.006227411,0.006995023,-0.001925535,-0.000156789,0.006474962,0.001436139,-0.005665958,0.005312563,0.003780514,0.005994593,-0.003071332,0.003607719,0.004068988,-0.003335692,0.001808404,0.004150989,-0.006379312,-0.007308844,0.006364993,-0.003318246,0.007541462,-0.002036019,0.007548852,-0.004734749,0.002585524,0.003676274,-0.007068791,0.003979228,-0.005083506,-0.003082543,0.003689271,0.007653436,-0.002271273,-0.002678005,0.000195753,-0.000324421,-0.008031975,-0.00628067,0.004375076,0.005825748,-0.003605184,0.002784043,-0.000872313,0.002515173,-0.004889914,0.002276911,-0.004267614,-0.005151821,0.006547275,-0.006200682,-0.002369488,0.003315252,-0.00647604,-0.003626012,0.000969891,-0.004725941,0.006807285,0.006991575,0.006014579,0.002295381,-0.003985003,-0.000322465,-0.001467136,0.005094467,-0.005077585,-0.006732956,-0.007698924,-0.006282857,-0.005123494,-0.001707021,-0.001916823,0.005036068
10,0.003822592,0.003928593,0.001901525,0.001824303,0.003563246,0.006777341,0.004006833,0.001518209,-0.001917455,0.004118431,0.005482108,0.007151912,0.005152503,0.003772183,-0.007951844,0.002597754,-0.001644309,0.003399741,0.004966652,-0.001898722,-0.006926619,-0.001989284,-0.003969401,-0.002642561,-0.004238431,0.003979204,0.000701484,0.000112312,-0.003643561,0.007341761,0.000652381,-0.001780113,-0.007464218,0.002366083,-0.005877906,-0.003693005,-0.007155709,0.001144426,0.006564945,0.004606689,-0.002632449,-0.001117296,0.007628276,-0.005710944,-0.002956994,0.006035622,0.001520111,0.006392283,-0.001241131,-0.004655316,0.000887588,0.006885428,0.002387742,-0.003756845,-0.000824554,-0.007632803,0.005789944,0.00638852,0.002320552,-0.003983926,0.004940429,0.00132841,0.002659673,0.005667942,-0.003356803,0.00451228,-0.000488765,0.007922675,0.000457974,0.006083466,-0.001465728,-0.002402991,0.001783518,-0.006257834,-0.001619591,0.000345063,0.001324594,0.004734871,-0.001413031,-0.000397724,-0.005735489,-0.004382836,-0.000137801,-0.002027103,-0.001421175,0.004637966,-0.004392381,0.005271053,-0.003261838,-0.005665996,-0.006144683,0.003712415,-0.003082208,0.006668976,-0.004710175,0.004366123,-0.00042325,0.004684488,-0.000583425,-0.003868714,-0.007497051,0.004200657,-0.006298624,-0.00193103,0.002261628,0.007447026,-0.002618073,-0.001094031,0.00392149,0.003954335,-0.002192052,-0.00358034,-0.0032235,0.00551035,-0.003908241,-0.004649037,-0.004646718,-0.002510407,0.006431915,-0.000769507,0.007620889,-0.006036159,0.001769211,0.006974372,-0.007764216,-0.000873393,-0.006835489,0.005734768
11,-0.001298283,0.004652761,-0.00389785,0.002781213,-0.003067916,-0.007103998,-0.002510986,-0.000579745,-0.00747785,0.000284114,-0.004421038,0.004262261,-0.003307708,0.007605097,0.000804391,-0.002004421,-0.005459291,-0.005204957,-0.003600742,-0.001416546,-0.007297697,-0.003459448,-0.001967469,0.007733028,-0.000899803,0.003535026,-0.001163204,-0.001312489,0.004687412,0.005068511,0.001063012,0.004252898,-0.006249324,0.004271951,-0.0012555,0.003920362,-0.002532605,0.00145456,0.004155113,-0.006188901,-0.003034919,0.003201511,0.00032514,0.000239985,-0.001775302,0.005460855,0.006350501,0.007269839,-0.002455562,0.00718907,0.003051287,0.00479129,-0.001908178,-0.003719163,0.003566209,0.001033013,-0.007721407,0.004595426,-0.006360825,-0.007185814,-0.007722403,0.002883773,0.007205449,-0.0047593,7.92E-05,0.000220344,0.001233576,-0.007469676,0.002178823,0.005080294,-0.001742993,-0.004052114,0.006820449,-0.003192974,0.000379127,0.002937899,0.005047939,-0.004513253,-0.001462164,0.00498576,0.001176837,0.003149339,0.004405318,0.005911286,0.003999162,-0.002516588,0.005630914,-0.003322825,-0.000993561,-0.001770068,-0.000947279,0.007599989,-0.000516554,-0.006705828,-0.00118914,-0.00695784,-0.002566484,0.001386936,-0.00276909,-0.00664788,0.002758419,-0.006380574,-0.001002759,-0.004865946,-0.006006514,0.006527487,0.001803117,-0.005278461,0.003876739,-0.005322139,-0.000636607,-0.000506258,-0.007555908,0.005817379,-0.002852947,-0.001041428,-0.002605814,-0.005720344,-0.000651426,0.005858762,0.005381907,0.003584773,-0.001052046,0.000328106,-0.006892788,0.000102841,-0.005414439,0.006309382
12,0.005573457,-0.004792182,-0.001302076,0.00282808,-0.003486,0.006665115,0.003567474,0.003571644,0.003138944,-0.006525316,-0.005500917,-0.00041617,-0.003103222,-0.005300252,-0.006829329,-0.004432703,-0.006622273,0.000108584,0.005353403,-0.004809946,0.003205338,0.005255457,0.006914172,0.005349047,0.002097595,-0.003421948,-0.001268652,-0.000104375,-0.00214588,-0.006643205,0.001209082,-0.005707785,0.002228229,0.002587439,0.004422196,-0.005495927,-0.00025559,-2.63E-05,0.003553311,0.0043869,0.002510954,-0.006823855,-0.000420835,-0.007671713,-0.005112784,0.00727678,0.004566208,-0.004032282,0.00721036,-0.002141779,-0.006208259,0.002957459,0.002276476,0.000708338,0.005242025,-0.001111603,0.002659503,0.004097207,-0.00564506,-0.001876245,-0.005382699,-0.003715941,0.005239572,-0.001133448,0.000833179,-0.007345915,-0.001401277,0.00548587,0.004143213,0.000832701,0.004941731,0.004833985,-0.007930631,0.006186999,-0.007165642,-0.005961543,-0.001054239,0.001061017,-0.004049877,-3.40E-06,0.0010019,-0.002478739,-0.001557606,-0.00535774,-0.003684511,-0.00404917,-0.003261956,0.003865312,-0.007540941,-0.0053291,-0.002648363,-0.007011897,-0.005532692,0.006179999,-0.004202316,-0.003654056,-0.003129898,0.004886721,0.006651099,-0.003155858,0.004961767,0.005499952,-0.007977191,0.006550182,0.006413355,0.000345423,0.002809342,-0.003767933,0.007425164,-0.007492374,0.007224366,-0.003077426,0.003397383,-0.004657282,0.007368742,0.006513885,-0.00595497,-0.003423617,0.00266199,-0.000506252,-0.001824323,0.004109419,0.003405346,-0.005109089,0.001769351,0.00621903,0.006409289,0.002929145
13,0.003807125,0.000149607,-0.006154966,0.001203999,-0.00358932,-0.00495503,-0.001568796,-0.00145868,0.006049272,0.0010487,-0.005216926,-0.004224265,0.004526043,-0.00150505,0.007178773,0.005071384,-0.000293071,-0.000922185,-0.006574261,0.002842429,0.000383258,0.007450523,-0.000984142,0.004060362,-0.002147336,0.005121063,0.00580901,0.004657538,-0.001409065,-0.003206065,0.003793217,-0.005455297,0.000318657,0.007084406,0.003502566,0.007557581,0.001730126,-6.04E-06,0.002547563,0.004739416,-0.001873213,-0.000387678,0.004283177,0.00069233,-0.005651201,0.005402697,-0.003157741,0.00441193,-0.007691002,0.001982881,-0.002633153,0.005106771,-0.004414589,-0.007617254,0.005504436,-0.007744083,0.0052012,-0.004186876,-0.004999125,0.007239574,0.005341519,0.004495585,-0.004331177,-0.002209316,-0.001818918,0.004011269,0.007160627,-0.003029569,-0.001733704,-0.006982495,0.006217542,0.000356702,-0.006133293,-0.00533634,-0.002317576,0.002389429,-0.004228053,0.002910735,-0.006122012,-0.002604394,-0.005759776,-0.001922939,0.004985117,-0.00572366,0.002297228,-0.000422937,-0.003064104,0.006508508,0.006487387,-0.007118114,0.006464597,0.00282116,-0.002974907,0.007372946,0.005942949,0.002861007,0.000253847,-0.003740544,0.003307107,-0.004807237,0.005357574,-0.003289929,0.003039547,-0.004725821,-0.000379529,0.001211453,-0.000206223,0.003651208,-0.003484288,0.00557192,0.004733378,-0.005286778,-0.004681237,0.006833892,0.000557841,-0.003854974,-0.003739268,-0.00500222,0.000528796,0.000691635,0.005966646,-0.007384613,0.006817259,0.005508285,-0.000822934,-0.002423355,0.006873629,0.005093683
14,0.003928476,0.005006041,-0.007742487,0.004916772,-0.002944875,-0.006393633,-0.003697501,0.005871122,0.006327024,0.005666476,-0.002509329,-0.002191129,0.001900133,0.004849744,0.00593354,-0.002240959,0.001064622,0.003379445,0.001618354,0.004646785,0.00469005,-0.002191756,-0.006736621,0.008021046,-0.004634491,-0.003043672,0.006766411,0.00090521,0.00684368,-0.003504852,0.008071189,0.004734975,-0.00283469,-0.003195431,0.003189696,-0.001868157,-0.00436512,0.004736061,-0.005775507,-0.000404424,-0.002702318,6.10E-05,0.007717918,-0.001550689,0.005221431,-0.003856405,-0.006429368,0.001871455,-0.000241237,-0.004205452,0.004546226,0.00303642,0.007093215,0.002548654,-0.007411553,0.003012107,0.004106218,0.001990329,-0.007728989,0.004406271,-0.006932948,-0.006356995,0.00089509,0.004093362,-0.005710235,0.004393891,-0.002076272,0.001455624,0.000596084,-0.00507713,0.001322707,-0.001328578,-0.003400675,-0.000461807,-0.007428474,0.002134619,0.002103547,0.006238411,0.003656208,0.002548853,-0.006234324,0.007072439,-0.003533595,-0.00746449,-0.005399703,-0.004382115,0.001592366,0.005120421,-0.003320493,-0.004145239,0.00447797,0.000725711,0.003846952,2.13E-05,-0.007707575,0.00572888,0.002145014,-7.75E-05,0.000385928,-0.00635271,-0.002341975,-0.007391421,-0.006805132,-0.005082252,-0.006847865,0.004163859,0.004953907,0.004626567,-1.85E-05,0.006349308,-0.002102149,-0.003585308,-0.004288305,0.003398752,0.007754365,0.00579724,0.004660581,0.003828936,0.002553156,-0.007135339,0.005237007,0.004736389,-0.003882739,0.006114053,-0.001567786,0.00502642,0.007566434,-0.003195572
2,-0.001228238,0.004885663,0.002270877,-0.006600184,0.003824767,-0.002145021,-0.007280119,-0.003045622,-0.004620874,0.006319573,0.002040698,-0.002406746,-0.001637411,-0.005493675,-0.003925286,0.005685467,-0.007824817,0.007179348,0.004531452,-0.007606053,0.001752359,-0.007855781,0.002899666,-0.005614201,0.006578259,-0.000986497,0.006367689,0.004910204,0.007473482,-0.003930592,-0.001392105,-0.00095547,-0.003939823,-0.000190276,-0.001515331,0.000592414,0.005376275,0.007345745,-0.003385275,0.007176629,0.006102464,-0.006636812,-0.000106383,-0.007162189,0.004757957,0.003074106,-0.003723496,0.005967788,-0.006170763,0.005826289,-0.004639336,0.002515756,0.00733063,0.00716141,-0.0017544,0.000128746,-0.007521501,0.002451755,-0.003046791,-0.007919945,-0.00412641,0.0042587,-0.00252805,-0.005209095,-0.002458797,-0.001721921,-0.004784524,-0.006014081,-0.000747586,0.000862201,0.000295125,0.005238212,-0.004934789,0.006152243,0.005545015,0.001108475,-0.007856674,-0.002797392,-0.005366771,0.006387707,0.006398717,-0.001405695,0.00394105,-0.004146044,-0.00253745,0.00322993,0.002367695,0.000872119,0.0006431,0.007077013,0.006423239,-0.002140778,-0.005090778,0.001563794,0.002425218,-0.002395964,0.007808426,0.007413432,0.00485548,-0.000596471,-0.007369231,0.000423455,-0.007595053,-0.00302868,-0.000824396,-0.006743139,0.006516794,-0.003935132,-0.005779922,0.005085838,0.007263029,-0.000331041,0.005933261,0.001380043,-0.004207716,-0.002120386,-0.000647404,0.001007478,-0.006901298,-0.004327275,-0.000152886,0.007571382,-0.001114743,0.004260366,0.002499556,-0.001960181,-0.004963114,-0.006899764
3,-0.004388177,-0.00463901,-0.005067197,-0.000233862,0.000989464,-0.004990027,-0.003111032,0.003282432,-0.007326116,-0.005514059,-0.004787474,0.006504599,9.64E-05,-0.006982692,-0.002416394,0.005619049,0.003683184,-0.004646826,-0.0035949,-0.001430424,0.006643544,-0.003961574,0.004101103,-0.004180297,0.002980919,-0.00158682,0.007480212,-0.005595759,0.007367708,-0.000303423,0.007717899,0.007343046,0.000354155,-0.004239469,-0.001188589,-0.007374033,-0.001102888,0.006912021,0.000513917,-0.004547893,0.004630384,0.001907019,-0.004752525,-0.004222814,0.000975235,0.006231977,-0.003892654,0.00400228,0.001954079,0.007205995,-0.002128087,-0.001922556,-0.007379611,0.002848921,-0.003327334,0.001765376,-0.00328703,0.007223223,-0.00518019,-0.007043005,-0.003890772,0.001827526,-0.001709867,-0.004195202,0.005420363,0.003537389,0.007091798,0.005429686,0.007821167,-0.001391926,0.002981546,-0.006671223,0.002564324,-0.005567201,-0.00506626,0.002030553,-0.003876596,-0.005752033,0.006557183,0.00141457,0.000921547,-0.001257904,-0.006827116,0.002191036,-0.007517481,-0.002467186,-0.002083794,-0.000153596,-0.001946699,-0.005465272,0.004485416,-0.00360589,0.004395013,-0.007800602,-0.00773062,0.007131424,-0.003493867,-0.002439846,-0.002762302,-0.003088776,-0.003070182,-0.005626169,0.002890305,0.00267373,-0.003373871,0.006015769,0.003263899,0.007009079,-0.005866313,-0.000537109,0.002214202,-0.007545124,-0.007888496,-0.004841882,-0.005872718,-0.005241478,-2.51E-05,0.006645281,0.006563562,0.006356835,0.001303057,0.006743433,-0.005148087,0.003603442,0.002035078,-0.002130756,0.00124347,-0.001458152
4,-0.000153597,-0.007064109,-0.004673787,0.00370855,-0.00587247,-0.006645503,0.00627434,-0.003933107,-0.005789659,0.007570169,-0.000336445,-0.002434507,-0.004368002,0.007211604,-0.002826947,0.003226992,0.001010167,0.004254905,0.001586932,-0.00663735,0.006003455,0.002678739,-0.00104745,0.003318381,0.006830798,0.003398388,0.003226116,-0.004781416,-0.005323166,0.003070448,0.005463805,0.003345625,-0.00650515,-0.001352774,0.005462884,0.004011465,-0.000509245,0.002052702,0.001319977,0.005025089,-0.002510779,0.001388998,-0.00677522,-0.002119267,0.002844043,-0.005401232,-0.004595852,-0.001449777,-0.001076904,0.001176383,-0.004388261,0.001138427,-0.004870339,-0.002783065,0.000446997,-0.005965331,0.002973984,-0.0054376,0.004177209,-0.007495583,-0.004959967,-0.001666731,0.00598886,0.006413209,0.003912938,-0.00361538,-0.003511971,-0.003046211,0.001793244,-0.002388297,0.000897142,0.000514597,0.001487509,0.001780184,-0.005825825,0.005984433,-0.006687236,0.003590399,-0.001265063,0.007365309,7.17E-05,0.000436307,-0.003224713,0.000339673,0.005790824,-0.00318862,0.007603387,0.001527001,-0.002818852,-0.007481741,-0.005618383,0.006168858,-0.005090172,-0.003946933,0.001947122,0.003961547,0.004126525,0.003232389,-0.006789166,0.005965881,0.00236898,0.002461421,-0.006659104,-0.000924658,0.000125592,-0.006715991,0.000709767,-0.000763516,-0.003158827,0.007010777,0.004192905,0.003906713,0.002690961,-0.002027313,0.00270378,0.003412576,0.007279726,0.003125153,-0.005457272,0.008043396,0.005830374,-0.003014439,0.004043203,-0.002938551,0.005786026,0.006812349,-0.004502408,0.005090271
